,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
13,3FA6P0SU9L,Kitsap,Bremerton,WA,98310.0,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23.0,230362380,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080300.0
14,WBY1Z2C53G,King,Seattle,WA,98119.0,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36.0,219061027,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902.0
15,5UX43EU02R,King,Seattle,WA,98105.0,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,46.0,256410164,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101.0
16,JTDKARFP7H,Kitsap,Poulsbo,WA,98370.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23.0,348856014,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100.0
17,5YJXCBE26G,Yakima,Selah,WA,98942.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,15.0,122670621,POINT (-120.54188 46.654175),PACIFICORP,53077003100.0
18,5YJ3E1EB0L,King,Seattle,WA,98119.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36.0,151540385,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007102.0
19,1G1RA6S51J,Kitsap,Poulsbo,WA,98370.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23.0,154300961,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035091100.0
20,1N4AZ0CP0D,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23.0,231813487,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502.0
21,7FCTGAAL7N,Kitsap,Silverdale,WA,98383.0,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,221467284,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091206.0
22,5YJ3E1EAXK,King,Seattle,WA,98144.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37.0,477438538,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000.0
